et,and,in principio creavit Deus caelum et terram
in,in,in principio creavit Deus caelum et terram
est,is,dixitque Deus fiat lux et facta est lux 
non,no,non enim pluerat Dominus Deus super terram et homo non erat qui operaretur terram
ad,to,produxitque  Dominus  Deus  de  humo  omne  lignum  pulchrum  visu  et  ad
qui,who,germinaret non enim pluerat Dominus Deus super terram et homo non erat qui operaretur terram
eius,his/her,ea omne enim quod vocavit Adam animae viventis ipsum est nomen eius 
autem,but,terra autem erat inanis et vacua et tenebrae super
de,about,hominem de limo terrae et inspiravit in faciem eius spiraculum vitae et factus est homo in animam
ut,so that,septimo et sanctificavit illum quia in ipso cessaverat ab omni opere suo quod creavit Deus ut faceret
cum,with,et cum audissent
Dominus,Lord,istae generationes caeli et terrae quando creatae sunt in die quo fecit Dominus Deus caelum et
sunt,are,sub caelo sunt in locum unum et appareat arida factumque est ita
me,me,qui ait vocem tuam audivi in paradiso et timui eo quod nudus essem et abscondi me
super,above,terra autem erat inanis et vacua et tenebrae super
quae,which,et fecit Deus firmamentum divisitque aquas quae erant sub
eum,him,posuit eum in paradiso voluptatis ut operaretur et custodiret illum
quod,where,Deus lucem quod esset bona et divisit lucem ac tenebras 
a,from,plantaverat autem Dominus Deus paradisum voluptatis a principio in quo posuit hominem
quia,because,septimo et sanctificavit illum quia in ipso cessaverat ab omni opere suo quod creavit Deus ut faceret 
Israhel,Israel,at ille nequaquam inquit Iacob appellabitur nomen tuum sed Israhel quoniam si contra
